BAND ;An exceptional pass goes beyond what has been taught and shows:;A very good pass is clear, fluent and accurate and should show extensive application of learning;A good pass should be generally clear and accurate though there may be some gaps and errors in application of learning;A satisfactory pass is patchy/clumsy with some significant errors. A risk taker with some successful attempts to apply learning.;A borderline pass is adequate but limited and muddled. Attempts to apply learning are still unsuccessful more often than not. It  must include:;A borderline fail  (36) is inadequate and does not show application of learning. It could include:;29/22 Fail;A clear fail (15/7) is poor ;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;
TASK FULFILMENT & CONTENT (40);•        Response: Rigorous, lucid, creative ;•        Response: question is very effectively addressed;•        Response: question is fully addressed ;•        Response: question is partially addressed;•        Minimal response to the task. ;•        Inadequate response to task (too short);•        A mixture of elements from 1 & 2;•        Fails to address the general scope of the title;"•        No attempt at task; evidence of cheating; memorised script";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;•        Understanding: concepts/ issue/theories clearly understood;•        Understanding: concepts/issue/theories mostly clearly understood;•        Understanding: some evidence of issues/theories raised in course;•        Some inaccurate or muddled understanding of issues/theories;•        Mostly inaccurate understanding of issue or theory;;•        Focus can be perceived only with difficulty.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;•        Analysis: shows depth ;•        Analysis: a range of perspectives considered;•        Analysis: mostly successful use of relevant supporting ideas for points made;•        Analysis: Some evidence of relevant ideas to support points made;•        Attempts to support points made more unsuccessful than not;•        Substantially irrelevant points with little support;;•        No attempt to analyse ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;•        Evaluation: insightful interim and final comments;•        Evaluation: very appropriate interim and final comments;•        Evaluation: mostly successful interim and final comments;•        Evaluation: Some successful evaluative comments, but patchy;•        Attempts at evaluative comment more unsuccessful than not;•        Little attempt at evaluation;;•        No attempt to evaluate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;•        Synthesis: evidence of reading/listening beyond set texts;•        Synthesis: very effective use of reading / lecture input on British context and other contexts considered;•        Synthesis: mostly successful use of reading and lecture input on British context;•        Synthesis: some successful attempts to acknowledge reading or lecture input on British context;•        Inconsistent acknowledgement and/or inaccurate use of reading / lecture input on British context ;•        No acknowledgement or use of reading / lecture input on British context;;•        No attempt to synthesise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LANGUAGE USE & STYLE (20);•        Full control of a wide variety of sentence structures;•        Very good control of a variety of sentence structures though possibly some inappropriacies;•        Control of a variety of sentence structures ;•        Control of simple sentence structures with some successful attempts at variety;•         Control of basic sentence structure but attempts at variety more unsuccessful than not;•        Basic sentence structure is sound but no attempt at variety  ;;•        Little evidence of basic sentence structure;•        Incomprehensible due to lack of control of structure or word choice/form.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;•        Sophisticated use of appropriate grammar and punctuation;•        Almost entirely error-free;•        Errors with grammar are limited / superficial and meaning is clear;•        Some errors with grammar start to hinder meaning in parts ;•        Grammatical errors hinder retrieval of meaning ;•        Errors predominate in punctuation and grammar so meaning is often distorted ;;•        Basic errors in grammar and punctuation predominate obstructing meaning;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;•        Good punctuation aids readability;•        Control of basic punctuation with some successful attempts at complexity;•        Control of basic punctuation but attempts at variety more unsuccessful than not;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;•        Accurate grammar & punctuation ;•        Very good use of noun phrase for conciseness;•        Mostly successful use of noun phrase grammar;•        Evidence of some successful use of noun phrase grammar;•        Relies mainly on verb phrase grammar so wordy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;•        Accurate and sophisticated usage of appropriate vocabulary including successful use of AWL;•        Sufficient range of vocabulary to allow some flexibility and precision including successful use of AWL;•        Vocabulary mostly appropriate to the task set including mostly successful use of AWL;•        Some successful attempts to use appropriate vocabulary including AWL;•        Limited vocabulary reasonably appropriate to the task set;•        Basic vocabulary used repetitively and often inappropriate to the task;;•        Frequent poor word choice or form obscures meaning ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;•        Accurate word choice and form though possibly some inappropriacies;•        Few errors in word choice or form and meaning is clear;•        Some errors in word choice or form but meaning is retrievable;•        Frequent errors in word choice or form may cause difficulty for the reader;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;•        Elegant academic style throughout;•        Appropriate academic style throughout;•        Appropriate academic style quite well sustained so overall effect is achieved;•        Some successful attempts at academic style;•        Academic style is inconsistent;•        Stylistic variation is largely uncontrolled with little evidence of academic style;;No evidence of academic style;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
